turma,unidade,professor,dia,departamento,link,sigla,inicio,titulo,desc,fim
2017133,Faculdade de Educação,(R)Leny Magalhaes Mrech,ter,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0688&verdis=2,EDM0688,17:30,Investigação Sobre  Práticas Educativas,Promover  uma reflexão sobre a ação profissional docente a partir  de processos que envolvam  investigações exploratórias do contexto educativo da escola básica identificando e analisando os problemas  do ensino e da  aprendizagem  nas áreas envolvidas e as práticas educativas  que envolvem estratégias de superação elaboradas no enfrentamento desses problemas.,19:10
2017132,Faculdade de Educação,Maria Angela Borges Salvadori,ter,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0287&verdis=1,EDF0287,14:00,Introdução aos Estudos da Educação: Enfoque Histórico,"A disciplina se propõe a abordar a história da educação no mundo ocidental moderno e contemporâneo, a partir da análise do processo da escolarização da sociedade brasileira.",17:40
2017133,Faculdade de Educação,(R)Maurilane de Souza Biccas,ter,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0287&verdis=1,EDF0287,19:30,Introdução aos Estudos da Educação: Enfoque Histórico,"A disciplina se propõe a abordar a história da educação no mundo ocidental moderno e contemporâneo, a partir da análise do processo da escolarização da sociedade brasileira.",23:00
2017142,Faculdade de Educação,(R)Maurilane de Souza Biccas,qua,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0287&verdis=1,EDF0287,14:00,Introdução aos Estudos da Educação: Enfoque Histórico,"A disciplina se propõe a abordar a história da educação no mundo ocidental moderno e contemporâneo, a partir da análise do processo da escolarização da sociedade brasileira.",17:40
2017102,Faculdade de Educação,Martha Marandino,seg,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0329&verdis=3,EDM0329,14:00,Metodologia do Ensino de Ciências,"A disciplina pretende introduzir o futuro professor na problemática do ensino de Ciências em um amplo espectro da escolaridade básica, incluindo a educação infantil e o ensino fundamental. A disciplina visa proporcionar subsídios para uma reflexão aprofundada sobre as especificidades do conhecimento científico, sua transposição didática, estratégias de ensino, avaliação, análise de materiais didáticos e propostas curriculares, tendo como contexto privilegiado da abordagem pedagógica as atividades cotidianas do professor. Tais propósito resultarão da articulação entre os temas desenvolvidos nas aulas da disciplina e as atividades realizadas pelos alunos nos estágios simultâneos.",17:40
2017103,Faculdade de Educação,Lúcia Helena Sasseron Roberto,seg,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0329&verdis=3,EDM0329,19:30,Metodologia do Ensino de Ciências,"A disciplina pretende introduzir o futuro professor na problemática do ensino de Ciências em um amplo espectro da escolaridade básica, incluindo a educação infantil e o ensino fundamental. A disciplina visa proporcionar subsídios para uma reflexão aprofundada sobre as especificidades do conhecimento científico, sua transposição didática, estratégias de ensino, avaliação, análise de materiais didáticos e propostas curriculares, tendo como contexto privilegiado da abordagem pedagógica as atividades cotidianas do professor. Tais propósito resultarão da articulação entre os temas desenvolvidos nas aulas da disciplina e as atividades realizadas pelos alunos nos estágios simultâneos.",23:00
2017131,Faculdade de Educação,Elio Carlos Ricardo,qui,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0329&verdis=3,EDM0329,19:30,Metodologia do Ensino de Ciências,"A disciplina pretende introduzir o futuro professor na problemática do ensino de Ciências em um amplo espectro da escolaridade básica, incluindo a educação infantil e o ensino fundamental. A disciplina visa proporcionar subsídios para uma reflexão aprofundada sobre as especificidades do conhecimento científico, sua transposição didática, estratégias de ensino, avaliação, análise de materiais didáticos e propostas curriculares, tendo como contexto privilegiado da abordagem pedagógica as atividades cotidianas do professor. Tais propósito resultarão da articulação entre os temas desenvolvidos nas aulas da disciplina e as atividades realizadas pelos alunos nos estágios simultâneos.",23:00
2017122,Faculdade de Educação,Cristiane Maria Cornelia Gottschalk,seg,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0285&verdis=1,EDF0285,14:00,Introdução aos Estudos da Educação: Enfoque Filosófico,"A abordagem filosófica na introdução aos estudos da educação procura oferecer um exame crítico das diferentes doutrinas educacionais e pedagógicas presentes em textos clássicos e o exame analítico das teorias educacionais do ponto de vista da validade de suas conclusões e da clareza de seus conceitos. Volta-se ainda para as diversas teorias do conhecimento, articulando-as com textos e autores que problematizam conceitos e concepções de ensino, aprendizagem, formação e educação.",17:40
2017123,Faculdade de Educação,Marcos Sidnei Pagotto-Euzebio,seg,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0285&verdis=1,EDF0285,19:30,Introdução aos Estudos da Educação: Enfoque Filosófico,"A abordagem filosófica na introdução aos estudos da educação procura oferecer um exame crítico das diferentes doutrinas educacionais e pedagógicas presentes em textos clássicos e o exame analítico das teorias educacionais do ponto de vista da validade de suas conclusões e da clareza de seus conceitos. Volta-se ainda para as diversas teorias do conhecimento, articulando-as com textos e autores que problematizam conceitos e concepções de ensino, aprendizagem, formação e educação.",23:00
2017131,Faculdade de Educação,José Sergio Fonseca de Carvalho,ter,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0285&verdis=1,EDF0285,08:30,Introdução aos Estudos da Educação: Enfoque Filosófico,"A abordagem filosófica na introdução aos estudos da educação procura oferecer um exame crítico das diferentes doutrinas educacionais e pedagógicas presentes em textos clássicos e o exame analítico das teorias educacionais do ponto de vista da validade de suas conclusões e da clareza de seus conceitos. Volta-se ainda para as diversas teorias do conhecimento, articulando-as com textos e autores que problematizam conceitos e concepções de ensino, aprendizagem, formação e educação.",12:00
2017143,Faculdade de Educação,José Sergio Fonseca de Carvalho,qua,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0285&verdis=1,EDF0285,19:30,Introdução aos Estudos da Educação: Enfoque Filosófico,"A abordagem filosófica na introdução aos estudos da educação procura oferecer um exame crítico das diferentes doutrinas educacionais e pedagógicas presentes em textos clássicos e o exame analítico das teorias educacionais do ponto de vista da validade de suas conclusões e da clareza de seus conceitos. Volta-se ainda para as diversas teorias do conhecimento, articulando-as com textos e autores que problematizam conceitos e concepções de ensino, aprendizagem, formação e educação.",23:00
2017141,Faculdade de Educação,(R)Maria da Graca Jacintho Setton,qua,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0289&verdis=2,EDF0289,08:30,Introdução aos Estudos da Educação: Enfoque Sociológico,"A disciplina examina a educação na dimensão da socialização, processo que oferece elementos fundamentais para compreensão da especificidade da ação da escola ao lado de outras instituições educativas - família, mídia, sistemas religiosos, grupos de pares - presentes na formação dos indivíduos na sociedade contemporânea. As principais mudanças da educação escolar brasileira nas últimas décadas serão examinadas tendo em vista uma melhor compreensão dos processos de sua democratização e de seus limites, uma vez que a universalização do acesso à cultura escolar ainda não ocorreu em nosso território. Esses temas serão examinados a partir de situações e de problemas que mobilizem o interesse dos alunos, de modo a examinar possibilidades mais adequadas de intervenção no âmbito da ação docente.",12:00
2017143,Faculdade de Educação,(R)Maria da Graca Jacintho Setton,qua,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0289&verdis=2,EDF0289,19:30,Introdução aos Estudos da Educação: Enfoque Sociológico,"A disciplina examina a educação na dimensão da socialização, processo que oferece elementos fundamentais para compreensão da especificidade da ação da escola ao lado de outras instituições educativas - família, mídia, sistemas religiosos, grupos de pares - presentes na formação dos indivíduos na sociedade contemporânea. As principais mudanças da educação escolar brasileira nas últimas décadas serão examinadas tendo em vista uma melhor compreensão dos processos de sua democratização e de seus limites, uma vez que a universalização do acesso à cultura escolar ainda não ocorreu em nosso território. Esses temas serão examinados a partir de situações e de problemas que mobilizem o interesse dos alunos, de modo a examinar possibilidades mais adequadas de intervenção no âmbito da ação docente.",23:00
2017141,Faculdade de Educação,Fernanda Andrade do Nascimento Alves,qua,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0439&verdis=8,EDM0439,08:30,Metodologia do Ensino de Espanhol I,"A disciplina Metodologia do Ensino de Espanhol I está situada no currículo da Licenciatura tendo por objetivo estabelecer a integração entre os conteúdos pedagógicos e os específicos (língua espanhola), assim como entre as teorias pertinentes à aprendizagem, ao ensino e à produção de conhecimento e as práticas desenvolvidas em sala de aula. Nesse sentido, busca oferecer aos alunos - futuros professores -, oportunidades de estudo e reflexão das teorias, abordagens e métodos de ensino da língua e da sua aplicação nos programas educacionais da educação básica. Procura também propiciar discussões sobre as questões didático-pedagógicas identificadas em aulas ministradas por outros professores de E/LE ao longo dos estágios de observação.  Estas discussões poderão ser desenvolvidas com o apoio de ferramentas tecnológicas (blog, plataformas educacionais como o Moodle, entre outras).",12:00
2017143,Faculdade de Educação,Fernanda Andrade do Nascimento Alves,qua,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0439&verdis=8,EDM0439,19:30,Metodologia do Ensino de Espanhol I,"A disciplina Metodologia do Ensino de Espanhol I está situada no currículo da Licenciatura tendo por objetivo estabelecer a integração entre os conteúdos pedagógicos e os específicos (língua espanhola), assim como entre as teorias pertinentes à aprendizagem, ao ensino e à produção de conhecimento e as práticas desenvolvidas em sala de aula. Nesse sentido, busca oferecer aos alunos - futuros professores -, oportunidades de estudo e reflexão das teorias, abordagens e métodos de ensino da língua e da sua aplicação nos programas educacionais da educação básica. Procura também propiciar discussões sobre as questões didático-pedagógicas identificadas em aulas ministradas por outros professores de E/LE ao longo dos estágios de observação.  Estas discussões poderão ser desenvolvidas com o apoio de ferramentas tecnológicas (blog, plataformas educacionais como o Moodle, entre outras).",23:00
2017103,Faculdade de Educação,(R)Ermelinda Moutinho Pataca,sex,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0684&verdis=2,EDM0684,19:30,História das Ciências,A ciência na História; relações multidisciplinares das ciências; considerações históricas sobre a ciência desde a antigüidade aos dias atuais. A história das geociências. A História das Ciências no Brasil. Relações entre história das ciências e ensino.,23:00
2017102,Faculdade de Educação,(R)Roni Cleber Dias de Menezes,sex,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0225&verdis=2,EDF0225,14:00,História da Escolarização Elementar no Brasil,"O curso pretende discorrer sobre as estratégias de escolarização do social constituídas historicamente. Para tanto, privilegia a construção da escola elementar e a formação do magistério das séries iniciais, interrogando-se sobre a produção de espaços, tempos e sujeitos, bem como de saberes e práticas escolares.",17:40
2017103,Faculdade de Educação,(R)Roni Cleber Dias de Menezes,sex,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0225&verdis=2,EDF0225,19:30,História da Escolarização Elementar no Brasil,"O curso pretende discorrer sobre as estratégias de escolarização do social constituídas historicamente. Para tanto, privilegia a construção da escola elementar e a formação do magistério das séries iniciais, interrogando-se sobre a produção de espaços, tempos e sujeitos, bem como de saberes e práticas escolares.",23:00
2017102,Faculdade de Educação,(R)Ana Luiza Jesus da Costa,sex,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0119&verdis=4,EDF0119,14:00,História da Educação I,"A disciplina aborda os processos e práticas históricas de educação investigando as diferentes maneiras pelas quais os sujeitos históricos organizaram seus modos de aprender e de transmitir fazeres e saberes, em especial no mundo ocidental, desde a Antiguidade Clássica até primórdios do século XX.",17:40
2017103,Faculdade de Educação,(R)Ana Luiza Jesus da Costa,sex,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0119&verdis=4,EDF0119,19:30,História da Educação I,"A disciplina aborda os processos e práticas históricas de educação investigando as diferentes maneiras pelas quais os sujeitos históricos organizaram seus modos de aprender e de transmitir fazeres e saberes, em especial no mundo ocidental, desde a Antiguidade Clássica até primórdios do século XX.",23:00
2017131,Faculdade de Educação,(R)Bruno Bontempi Junior,seg,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0119&verdis=4,EDF0119,19:30,História da Educação I,"A disciplina aborda os processos e práticas históricas de educação investigando as diferentes maneiras pelas quais os sujeitos históricos organizaram seus modos de aprender e de transmitir fazeres e saberes, em especial no mundo ocidental, desde a Antiguidade Clássica até primórdios do século XX.",23:00
2017102,Faculdade de Educação,Rodrigo Rosa da Silva,qui,Adm Escolar e Economia da Educação,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDA0101&verdis=2,EDA0101,14:00,Fundamentos Econômicos da Educação,"Este curso tem como finalidade analisar conceitos básicos e contribuições da Economia da Educação para a análise dos problemas educacionais e discutir o seu significado na formação do educador. 
Abordagem das principais concepções da economia da educação na configuração atual do Estado e suas relações com as políticas públicas de educação. Teorias do Desenvolvimento e Educação, Teorias do Capital Humano.",17:40
2017103,Faculdade de Educação,Rodrigo Rosa da Silva,qui,Adm Escolar e Economia da Educação,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDA0101&verdis=2,EDA0101,19:30,Fundamentos Econômicos da Educação,"Este curso tem como finalidade analisar conceitos básicos e contribuições da Economia da Educação para a análise dos problemas educacionais e discutir o seu significado na formação do educador. 
Abordagem das principais concepções da economia da educação na configuração atual do Estado e suas relações com as políticas públicas de educação. Teorias do Desenvolvimento e Educação, Teorias do Capital Humano.",23:00
2017131,Faculdade de Educação,(R)Rubens Barbosa de Camargo,sex,Adm Escolar e Economia da Educação,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDA0101&verdis=2,EDA0101,19:30,Fundamentos Econômicos da Educação,"Este curso tem como finalidade analisar conceitos básicos e contribuições da Economia da Educação para a análise dos problemas educacionais e discutir o seu significado na formação do educador. 
Abordagem das principais concepções da economia da educação na configuração atual do Estado e suas relações com as políticas públicas de educação. Teorias do Desenvolvimento e Educação, Teorias do Capital Humano.",23:00
2017102,Faculdade de Educação,Christiane Coutheux Trindade,seg,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0115&verdis=1,EDF0115,14:00,Filosofia da Educação I,"A ênfase do curso é no aspecto formativo. Um dos objetivos é contribuir para o desenvolvimento nos alunos das capacidades intelectuais básicas de ler, analisar e avaliar textos teóricos de filosofia, de estruturar logicamente o pensamento, de criticar, de expressar as próprias idéias e defendê-las racionalmente. O conteúdo também é de natureza formativa: procura-se familiarizar os alunos com temas, conceitos e teorias fundamentais referentes ao conhecimento e ao estudo da Educação enquanto processo de transmissão do conhecimento. 
A programação deste componente tem por objetivos: oferecer uma iniciação às particularidades do modo de pensar filosófico; - articular os momentos lógico-epistemológicos com os de Filosofia da Educação; - explicitar a natureza do esforço teórico em educação pela análise crítica do próprio conceito de educação e pelo retomada de expressões históricas significativas desse esforço.",17:40
2017103,Faculdade de Educação,Carlota Josefina Malta Cardozo dos Reis Boto,seg,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0115&verdis=1,EDF0115,19:30,Filosofia da Educação I,"A ênfase do curso é no aspecto formativo. Um dos objetivos é contribuir para o desenvolvimento nos alunos das capacidades intelectuais básicas de ler, analisar e avaliar textos teóricos de filosofia, de estruturar logicamente o pensamento, de criticar, de expressar as próprias idéias e defendê-las racionalmente. O conteúdo também é de natureza formativa: procura-se familiarizar os alunos com temas, conceitos e teorias fundamentais referentes ao conhecimento e ao estudo da Educação enquanto processo de transmissão do conhecimento. 
A programação deste componente tem por objetivos: oferecer uma iniciação às particularidades do modo de pensar filosófico; - articular os momentos lógico-epistemológicos com os de Filosofia da Educação; - explicitar a natureza do esforço teórico em educação pela análise crítica do próprio conceito de educação e pelo retomada de expressões históricas significativas desse esforço.",23:00
2017131,Faculdade de Educação,Marcos Sidnei Pagotto-Euzebio,ter,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0115&verdis=1,EDF0115,19:30,Filosofia da Educação I,"A ênfase do curso é no aspecto formativo. Um dos objetivos é contribuir para o desenvolvimento nos alunos das capacidades intelectuais básicas de ler, analisar e avaliar textos teóricos de filosofia, de estruturar logicamente o pensamento, de criticar, de expressar as próprias idéias e defendê-las racionalmente. O conteúdo também é de natureza formativa: procura-se familiarizar os alunos com temas, conceitos e teorias fundamentais referentes ao conhecimento e ao estudo da Educação enquanto processo de transmissão do conhecimento. 
A programação deste componente tem por objetivos: oferecer uma iniciação às particularidades do modo de pensar filosófico; - articular os momentos lógico-epistemológicos com os de Filosofia da Educação; - explicitar a natureza do esforço teórico em educação pela análise crítica do próprio conceito de educação e pelo retomada de expressões históricas significativas desse esforço.",23:00
2017133,Faculdade de Educação,Lúcia Helena Sasseron Roberto,ter,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0685&verdis=1,EDM0685,17:30,Experimentação e Modelagem,"Essa unidade de estágio é temática e envolve as disciplinas de metodologia do ensino de física química, biologia e matemática. Pretende desenvolver junto aos alunos da licenciatura a possibilidade de refletir criticamente sobre as práticas pedagógicas relacionadas à experimentação e modelagem no ensino de ciências e matemática. Contempla também a observação, o desenvolvimento a e a realização de atividades nas escolas campo do estágio.",19:10
2017162,Faculdade de Educação,Elio Carlos Ricardo,sex,Metodologia do Ensino e Ed Comparada,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDM0685&verdis=1,EDM0685,12:10,Experimentação e Modelagem,"Essa unidade de estágio é temática e envolve as disciplinas de metodologia do ensino de física química, biologia e matemática. Pretende desenvolver junto aos alunos da licenciatura a possibilidade de refletir criticamente sobre as práticas pedagógicas relacionadas à experimentação e modelagem no ensino de ciências e matemática. Contempla também a observação, o desenvolvimento a e a realização de atividades nas escolas campo do estágio.",13:50
2017103,Faculdade de Educação,(R)Cristiane Maria Cornelia Gottschalk,sex,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0713&verdis=1,EDF0713,19:30,Ética e Educação,"1.	Cultura, ética e sociedade
2.	A ética na educação: autoridade, liberdade e escola pública
3.	Reflexões sobre o ethos da Antiguidade Clássica: educar para a virtude
4.	A ética medieval e a formação do cristão
5.	O Renascimento e o pensamento humanista
6.	Na modernidade, a autoridade do dever: Rousseau e Kant
7.	Pós-modernidade: multiculturalismo e pluralidade de valores
8.	A ética na profissão do educador: tradições, experiências, expectativas
9.	A ética moderna e o ato educativo: razão e autonomia da vontade
10.	Valores, direitos e deveres na escola: a prática ética na ação pedagógica",23:00
2017122,Faculdade de Educação,(R)Ana Laura Godinho Lima,seg,Filosofia da Educ e Ciências da Educ,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=EDF0290&verdis=6,EDF0290,14:00,"Teorias do desenvolvimento, Práticas Escolares e Processos de Subjetivação","A disciplina, na perspectiva aqui adotada, visa propiciar a difusão e, ao mesmo tempo, uma análise crítica de algumas tendências teóricas prevalentes no campo da Psicologia da Educação e, em particular, daquelas de acento desenvolvimentista. Entendendo que a descrição das características do desenvolvimento cognitivo, social, afetivo e físico de crianças e pré-adolescentes consiste em um empreendimento socio-histórico sujeito a apropriações de múltiplas ordens, a disciplina debruça-se sobre o aporte epistemológico das teorias do desenvolvimento e da aprendizagem, de modo a analisar seus fundamentos e, igualmente, suas possíveis repercussões no cotidiano escolar contemporâneo. A realização do estágio na disciplina, por sua vez, tem a finalidade de proporcionar ao licenciando a oportunidade de realizar um exame das complexas relações entre educação e psicologia operando nas práticas educacionais concretas. Constituído como atividade investigativa sobre o cotidiano escolar, o estágio visa à análise de experiências formativas de alunos regularmente matriculados na rede pública ou privada de ensino. Tal investigação baseia-se nas seguintes ações: realização, transcrição e análise de entrevistas com alunos ou coleta e análise de modelos dos documentos que efetuam o registro de informações sobre os mesmos. O trabalho de supervisão docente prevê orientações específicas relativas aos aspectos técnicos e éticos envolvidos no trabalho tanto com os depoimentos quanto com as fontes documentais.",17:40
